bankname,address,city,state,zipcode,fdiccertificatenumber,closingdate,acquiringinstitution,latitude,longitude,month,year,yearmonth,total_assets_mill,total_deposits_mill
Bank of Honolulu,841 Bishop Street,Honolulu,HI,96808,21029,13-Oct-00,Bank of the Orient,21.307442,-157.862106,10,2000,200010,66.9,59.5
National State Bank of Metropolis,101 West 8th Street,Metropolis,IL,62960,3815,14-Dec-00,Banterra Bank of Marion,37.1538661,-88.7296582,12,2000,200012,91.7,71
First Alliance Bank & Trust Co.,"1750 Elm Street, Suite 102",Manchester,NH,3104,34264,2-Feb-01,Southern New Hampshire Bank & Trust,43.0038397,-71.4650311,2,2001,200102,18.4,17.5
Malta National Bank,10 Third Street,Malta,OH,43758,6629,3-May-01,North Valley Bank,39.6481542,-81.8595627,5,2001,200105,9.5,8.8
"Superior Bank, FSB",440 East Ogden Avenue,Hinsdale,IL,60521,32646,27-Jul-01,"Superior Federal, FSB",41.817192,-87.918839,7,2001,200107,2300,1600
Sinclair National Bank,113 S.E. Second Street,Gravette,AR,72736,34248,7-Sep-01,Delta Trust & Bank,36.4184303,-94.4712906,9,2001,200109,30.7,25.3
"Hamilton Bank, NA","3750 N.W. 87th Avenue, Suite 700",Miami,FL,33178,24382,11-Jan-02,Israel Discount Bank of New York,25.8093624,-80.3379822,1,2002,200201,1300,1200
Bank of Sierra Blanca,Sierra Blanca Road & State Hwy 1111,Sierra Blanca,TX,79851,22002,18-Jan-02,The Security State Bank of Pecos,31.1829106,-105.3564004,1,2002,200201,10.8,9.8
Oakwood Deposit Bank Co.,Main Street,Oakwood,OH,45873,8966,1-Feb-02,The State Bank & Trust Company,41.0946388,-84.3798294,2,2002,200202,72.3,60.2
"NextBank, NA","4129 East Van Buren, Suite 200",Phoenix,AZ,85008,22314,7-Feb-02,No Acquirer,33.4625206,-111.9847717,2,2002,200202,700,554
Net 1st National Bank,5295 Town Center Road,Boca Raton,FL,33486,26652,1-Mar-02,Bank Leumi USA,26.3635236,-80.1264051,3,2002,200203,34.7,27.4
New Century Bank,46719 Hayes Road,Shelby Township,MI,48315,34979,28-Mar-02,No Acquirer,42.6400866,-82.9738656,3,2002,200203,18.9,17.9
Connecticut Bank of Commerce,612 Bedford Street,Stamford,CT,6901,19183,26-Jun-02,Hudson United Bank,41.0591349,-73.5375968,6,2002,200206,398.6,323.7
Universal Federal Savings Bank,1800 S Halsted St,Chicago,IL,60608,29355,27-Jun-02,Chicago Community Bank,41.857956,-87.64695,6,2002,200206,52,40
AmTrade International Bank,1360 Peachtree Street Northeast,Atlanta,GA,30309,33784,30-Sep-02,No Acquirer,33.791771,-84.385101,9,2002,200209,12,10.2
Bank of Alamo,9 North Bells Street,Alamo,TN,38001,9961,8-Nov-02,No Acquirer,35.785281,-89.1173058,11,2002,200211,69.4,55.3
Farmers Bank of Cheneyville,Main Street,Cheneyville,LA,71325,16445,17-Dec-02,Sabine State Bank & Trust,31.0294666,-92.3189926,12,2002,200212,37,33.1
Southern Pacific Bank,"23530 Hawthorne Boulevard, Suite 200",Torrance,CA,90505,27094,7-Feb-03,Beal Bank,33.811947,-118.349899,2,2003,200302,916,865
First National Bank of Blanchardville,319 South Main Street,Blanchardville,WI,53516,11639,9-May-03,The Park Bank,42.809658,-89.862663,5,2003,200305,35,29
Pulaski Savings Bank,2352 Orthodox Street,Philadelphia,PA,19137,27203,14-Nov-03,Earthstar Bank,40.005886,-75.07814,11,2003,200311,10.2,9.2
Dollar Savings Bank,893 Franklin Avenue,Newark,NJ,7107,31330,14-Feb-04,No Acquirer,40.7801275,-74.1757735,2,2004,200402,12.3,9.8
Guaranty National Bank of Tallahassee,1706 West Tennessee Street,Tallahassee,FL,32304,26838,12-Mar-04,Hancock Bank of Florida,30.449415,-84.310272,3,2004,200403,74.1,66.9
Reliance Bank,1200 Mamaroneck Avenue,White Plains,NY,10602,26778,19-Mar-04,Union State Bank,40.992538,-73.746727,3,2004,200403,30.3,28
Bank of Ephraim,Main Street,Ephraim,UT,84627,1249,25-Jun-04,Far West Bank,39.3513794,-111.5874329,6,2004,200406,46.4,45.2
Metropolitan Savings Bank,4415 Butler Street,Pittsburgh,PA,15201,35353,2-Feb-07,Allegheny Valley Bank of Pittsburgh,40.472027,-79.959702,2,2007,200702,15.8,12
NetBank,1015 Windward Ridge Parkway,Alpharetta,GA,30005,32575,28-Sep-07,ING DIRECT,34.097809,-84.20961,9,2007,200709,2500,2300
Miami Valley Bank,8793 TOWNSHIP ROAD 239,LAKEVIEW,OH,43331,16848,4-Oct-07,The Citizens Banking Company,40.4785379,-83.9079013,10,2007,200710,86.7,76
Douglass National Bank,1670 EAST 63RD STREET,KANSAS CITY,MO,64110,24660,25-Jan-08,Liberty Bank and Trust Company,39.0129876,-94.5668008,1,2008,200801,58.5,53.8
Hume Bank,NORTHWEST CORNER OF MAIN STREET,HUME,MO,64752,1971,7-Mar-08,Security Bank,38.0302734,-94.528038,3,2008,200803,18.7,12.5
"ANB Financial, NA",3605 SOUTHERN HILLS BOULEVARD,ROGERS,AR,72758,33901,9-May-08,Pulaski Bank and Trust Company,36.2858505,-94.1642914,5,2008,200805,2100,212.9
"First Integrity Bank, NA",111 4TH STREET NORTHEAST,STAPLES,MN,56479,12736,30-May-08,First International Bank and Trust,46.3549105,-94.7950474,5,2008,200805,54.7,50.3
IndyMac Bank,888 East Walnut Street,Pasadena,CA,91101,29730,11-Jul-08,"OneWest Bank, FSB",34.149128,-118.13308,7,2008,200807,32010,19060
First National Bank of Nevada,6275 NEIL ROAD,RENO,NV,89511,27011,25-Jul-08,Mutual of Omaha Bank,39.468918,-119.783707,7,2008,200807,3400,3000
"First Heritage Bank, NA","4675 MACARTHUR COURT, SUITE 1480",NEWPORT BEACH,CA,92660,57961,25-Jul-08,Mutual of Omaha Bank,33.6694338,-117.8620812,7,2008,200807,254,233
First Priority Bank,4702 CORTEZ ROAD WEST,BRADENTON,FL,34210,57523,1-Aug-08,SunTrust Bank,27.462927,-82.608772,8,2008,200808,259,227
Columbian Bank & Trust,701 KANSAS AVENUE,TOPEKA,KS,66603,22728,22-Aug-08,Citizens Bank & Trust,39.0502281,-95.6744385,8,2008,200808,752,622
Integrity Bank,11140  STATE BRIDGE ROAD,ALPHARETTA,GA,30022,35469,29-Aug-08,Regions Bank,34.0523078,-84.2286298,8,2008,200808,1100,974
Silver State Bank,"170 SOUTH GREEN VALLEY PARKWAY, STE 300",HENDERSON,NV,89012,34194,5-Sep-08,Nevada State Bank,36.021492,-115.082336,9,2008,200809,2000,1700
Ameribank,70 Mcdowell Street,Northfork,WV,24801,6782,19-Sep-08,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",37.4139709,-81.4295731,9,2008,200809,115,102
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),2273 North Green Valley Parkway,Henderson,NV,89014,32633,25-Sep-08,JP Morgan Chase Bank,47.607174,-122.336205,9,2008,200809,307000,188000
Main Street Bank,201 EAST MAIN STREET,NORTHVILLE,MI,48167,57654,10-Oct-08,Monroe Bank & Trust,42.431484,-83.480774,10,2008,200810,98,86
Meridian Bank,308 LOCUST,ELDRED,IL,62027,13789,10-Oct-08,National Bank,39.2870121,-90.5527832,10,2008,200810,39.18,36.88
Alpha Bank & Trust,3651 OLD MILTON PARKWAY,ALPHARETTA,GA,30005,58241,24-Oct-08,"Stearns Bank, N.A.",34.064346,-84.253883,10,2008,200810,354.1,346.2
Freedom Bank,617 CORTEZ ROAD,BRADENTON,FL,34207,57930,31-Oct-08,Fifth Third Bank,27.4620399,-82.5694199,10,2008,200810,287,254
"Franklin Bank, SSB",9800 RICHMOND AVENUE SUITE 680,HOUSTON,TX,77042,26870,7-Nov-08,Prosperity Bank,29.728489,-95.541252,11,2008,200811,5100,3700
Security Pacific Bank,"12121 WILSHIRE BOULEVARD, SUITE 1350",LOS ANGELES,CA,90025,23595,7-Nov-08,Pacific Western Bank,34.044006,-118.46817,11,2008,200811,561.1,450.1
